Date,Open,High,Low,Close,Adj Close,Volume
2021-11-11,17527.179688,17527.179688,17403.480469,17452.519531,17452.519531,6146900
2021-11-12,17479.550781,17602.050781,17479.550781,17518.130859,17518.130859,5532600
2021-11-15,17560.519531,17683.189453,17560.519531,17634.470703,17634.470703,5366800
2021-11-16,17639.960938,17708.099609,17629.800781,17693.130859,17693.130859,6220100
2021-11-17,17705.289063,17764.039063,17669.580078,17764.039063,17764.039063,6399300
2021-11-18,17767.060547,17841.369141,17748.210938,17841.369141,17841.369141,6803100
2021-11-19,17864.189453,17986.179688,17786.050781,17818.310547,17818.310547,6246900
2021-11-22,17828.529297,17857.730469,17790.640625,17803.539063,17803.539063,4908200
2021-11-23,17797.900391,17797.900391,17650.070313,17666.119141,17666.119141,5002100
2021-11-24,17680.160156,17722.890625,17588.779297,17642.519531,17642.519531,4917100
2021-11-25,17686.119141,17724.500000,17609.509766,17654.189453,17654.189453,4708400
2021-11-26,17641.789063,17641.789063,17330.439453,17369.390625,17369.390625,5676100
2021-11-29,17320.009766,17415.630859,17167.240234,17328.089844,17328.089844,4887500
2021-11-30,17369.789063,17535.230469,17369.789063,17427.759766,17427.759766,6132900
2021-12-01,17428.609375,17626.210938,17374.589844,17585.990234,17585.990234,4219800
2021-12-02,17575.910156,17741.550781,17559.439453,17724.880859,17724.880859,4988600
2021-12-03,17720.929688,17781.140625,17670.320313,17697.140625,17697.140625,4400000
2021-12-06,17650.669922,17763.419922,17585.949219,17688.210938,17688.210938,3850100
2021-12-07,17734.189453,17796.919922,17642.320313,17796.919922,17796.919922,5417700
2021-12-08,17845.060547,17988.880859,17832.419922,17832.419922,17832.419922,5272600
2021-12-09,17880.410156,17925.119141,17807.119141,17914.119141,17914.119141,5266100
2021-12-10,17893.289063,17893.289063,17767.800781,17826.259766,17826.259766,4629000
2021-12-13,17841.029297,17919.349609,17767.599609,17767.599609,17767.599609,4799000
2021-12-14,17754.380859,17754.380859,17566.990234,17599.369141,17599.369141,4871000
2021-12-15,17592.869141,17678.779297,17556.869141,17660.099609,17660.099609,3773800
2021-12-16,17719.060547,17814.320313,17719.060547,17785.740234,17785.740234,4322400
2021-12-17,17744.539063,17822.740234,17718.269531,17812.589844,17812.589844,5154400
2021-12-20,17812.810547,17812.810547,17646.390625,17669.109375,17669.109375,3798200
2021-12-21,17686.839844,17825.890625,17652.320313,17789.269531,17789.269531,3555900
2021-12-22,17805.740234,17870.160156,17799.720703,17826.830078,17826.830078,3538900
2021-12-23,17855.779297,17960.990234,17855.779297,17946.660156,17946.660156,3851000
2021-12-24,17966.349609,18039.849609,17953.570313,17961.640625,17961.640625,3834800
2021-12-27,17975.410156,18099.779297,17975.410156,18048.939453,18048.939453,3701200
2021-12-28,18099.710938,18197.359375,18099.710938,18196.810547,18196.810547,3899900
2021-12-29,18209.140625,18283.250000,18192.859375,18248.279297,18248.279297,3983900
2021-12-30,18270.000000,18291.250000,18216.449219,18218.839844,18218.839844,4082900
2022-01-03,18260.230469,18379.689453,18238.470703,18270.509766,18270.509766,4309600
2022-01-04,18395.140625,18526.349609,18395.140625,18526.349609,18526.349609,4231400
2022-01-05,18598.130859,18619.609375,18446.519531,18499.960938,18499.960938,4261600
2022-01-06,18395.720703,18427.150391,18253.820313,18367.919922,18367.919922,3411400
2022-01-07,18388.160156,18444.119141,18134.410156,18169.759766,18169.759766,4727900
2022-01-10,18095.390625,18243.259766,18043.970703,18239.380859,18239.380859,3440300
2022-01-11,18266.539063,18293.529297,18135.429688,18288.210938,18288.210938,4694000
2022-01-12,18348.390625,18394.699219,18255.380859,18375.400391,18375.400391,4196200
2022-01-13,18356.210938,18459.730469,18346.810547,18436.929688,18436.929688,4599500
2022-01-14,18509.000000,18509.000000,18213.439453,18403.330078,18403.330078,4559700
2022-01-17,18512.150391,18535.419922,18435.019531,18525.439453,18525.439453,3172100
2022-01-18,18492.810547,18575.410156,18378.640625,18378.640625,18378.640625,3163500
2022-01-19,18275.179688,18359.140625,18199.349609,18227.460938,18227.460938,3422100
2022-01-20,18212.259766,18292.140625,18125.199219,18218.279297,18218.279297,3209300
2022-01-21,18113.939453,18113.939453,17851.390625,17899.300781,17899.300781,4160500
2022-01-24,17843.330078,18004.449219,17682.330078,17989.039063,17989.039063,3586500
2022-01-25,17890.710938,17890.710938,17645.660156,17701.119141,17701.119141,3506500
2022-01-26,17657.970703,17776.419922,17633.029297,17674.400391,17674.400391,2897700
2022-02-07,17750.699219,17900.300781,17712.349609,17900.300781,17900.300781,0
2022-02-08,17955.949219,18063.550781,17955.949219,17966.560547,17966.560547,4040800
2022-02-09,18060.330078,18168.599609,18039.230469,18151.759766,18151.759766,3901200
2022-02-10,18217.289063,18338.050781,18145.039063,18338.050781,18338.050781,3618700
2022-02-11,18258.810547,18310.939453,18191.750000,18310.939453,18310.939453,3541200
2022-02-14,18182.730469,18182.730469,17965.220703,17997.669922,17997.669922,3594200
2022-02-15,17978.439453,18085.910156,17942.679688,17951.810547,17951.810547,3611800
2022-02-16,18109.169922,18233.789063,18109.169922,18231.470703,18231.470703,3822800
2022-02-17,18213.300781,18330.630859,18190.240234,18268.570313,18268.570313,5115800
2022-02-18,18250.369141,18262.960938,18098.519531,18232.349609,18232.349609,4870600
2022-02-21,18196.400391,18253.099609,18129.650391,18221.490234,18221.490234,4487800
2022-02-22,18159.509766,18159.509766,17840.380859,17969.289063,17969.289063,5056200
2022-02-23,17954.750000,18109.279297,17954.750000,18055.730469,18055.730469,3709000
2022-02-24,17939.529297,17939.529297,17561.070313,17594.550781,17594.550781,6003200
2022-02-25,17617.359375,17737.320313,17554.970703,17652.179688,17652.179688,5029500
2022-03-01,17657.500000,17944.500000,17657.500000,17898.250000,17898.250000,4576900
2022-03-02,17864.109375,17918.980469,17784.640625,17867.599609,17867.599609,4013600
2022-03-03,17932.150391,18026.029297,17906.240234,17934.400391,17934.400391,4006800
2022-03-04,17845.009766,17845.009766,17710.539063,17736.519531,17736.519531,4422400
2022-03-07,17581.570313,17581.570313,17135.679688,17178.689453,17178.689453,5833800
2022-03-08,17000.000000,17113.669922,16764.779297,16825.250000,16825.250000,5875900
2022-03-09,16944.080078,17072.740234,16944.080078,17015.359375,17015.359375,3963600
2022-03-10,17224.730469,17478.429688,17224.730469,17433.199219,17433.199219,4493300
2022-03-11,17373.820313,17373.900391,17239.900391,17264.740234,17264.740234,3114900
2022-03-14,17287.900391,17363.039063,17217.580078,17263.039063,17263.039063,3432300
2022-03-15,17177.269531,17177.269531,16911.949219,16926.060547,16926.060547,4138100
2022-03-16,17007.580078,17085.769531,16808.429688,16940.830078,16940.830078,4846600
2022-03-17,17172.810547,17472.949219,17172.810547,17448.220703,17448.220703,5028900
2022-03-18,17439.910156,17472.380859,17359.500000,17456.519531,17456.519531,4984000
2022-03-21,17503.949219,17603.990234,17503.949219,17560.359375,17560.359375,3703600
2022-03-22,17512.410156,17573.289063,17468.550781,17559.710938,17559.710938,3448800
2022-03-23,17581.619141,17738.689453,17581.619141,17731.369141,17731.369141,3950500
2022-03-24,17711.169922,17711.169922,17603.220703,17699.060547,17699.060547,3883600
2022-03-25,17695.800781,17747.130859,17633.859375,17676.949219,17676.949219,3872300
2022-03-28,17510.150391,17527.150391,17368.660156,17520.009766,17520.009766,3202100
2022-03-29,17568.320313,17585.910156,17493.009766,17548.660156,17548.660156,3429900
2022-03-30,17572.900391,17770.070313,17572.900391,17740.560547,17740.560547,3739000
2022-03-31,17754.099609,17767.810547,17682.529297,17693.470703,17693.470703,3422500
2022-04-01,17657.759766,17657.759766,17465.609375,17625.589844,17625.589844,3396600
2022-04-06,17484.189453,17528.990234,17381.070313,17522.500000,17522.500000,4241200
2022-04-07,17430.130859,17438.599609,17178.630859,17178.630859,17178.630859,4863100
2022-04-08,17210.400391,17316.689453,17210.400391,17284.539063,17284.539063,3538700
2022-04-11,17273.050781,17316.349609,17046.669922,17048.369141,17048.369141,4584600
2022-04-12,17005.839844,17100.849609,16905.130859,16990.910156,16990.910156,4100800
2022-04-13,17080.400391,17333.210938,17080.400391,17301.650391,17301.650391,4058700
2022-04-14,17353.250000,17374.140625,17245.650391,17245.650391,17245.650391,4429600
2022-04-15,17139.339844,17141.330078,17004.179688,17004.179688,17004.179688,4078400
2022-04-18,16958.660156,16999.359375,16845.509766,16898.869141,16898.869141,4020900
2022-04-19,16926.339844,17106.259766,16926.339844,16993.400391,16993.400391,3514900
2022-04-20,17057.130859,17148.880859,16983.550781,17148.880859,17148.880859,4801300
2022-04-21,17159.880859,17213.660156,17106.369141,17127.949219,17127.949219,3952000
2022-04-22,17088.759766,17088.759766,16923.869141,17025.089844,17025.089844,4322500
2022-04-25,16912.300781,16912.300781,16579.890625,16620.900391,16620.900391,4528800
2022-04-26,16677.839844,16729.470703,16582.109375,16644.789063,16644.789063,3941900
2022-04-27,16427.320313,16427.320313,16219.410156,16303.349609,16303.349609,4261400
2022-04-28,16350.719727,16455.570313,16256.879883,16419.380859,16419.380859,3635500
2022-04-29,16599.839844,16663.660156,16521.939453,16592.179688,16592.179688,3416300
2022-05-03,16593.210938,16604.869141,16465.990234,16498.900391,16498.900391,2457700
2022-05-04,16531.369141,16617.060547,16514.300781,16565.830078,16565.830078,2630000
2022-05-05,16689.980469,16783.779297,16650.810547,16696.119141,16696.119141,3215900
2022-05-06,16491.109375,16491.109375,16312.169922,16408.199219,16408.199219,3186200
2022-05-09,16345.839844,16345.839844,16048.919922,16048.919922,16048.919922,3742000
2022-05-10,15891.400391,16071.500000,15734.440430,16061.700195,16061.700195,3489400
2022-05-11,16053.750000,16081.150391,15953.269531,16006.250000,16006.250000,2938300
2022-05-12,15943.620117,15943.620117,15616.679688,15616.679688,15616.679688,4040900
2022-05-13,15687.150391,15860.690430,15687.150391,15832.540039,15832.540039,3216400
2022-05-16,15943.690430,16032.849609,15847.459961,15901.040039,15901.040039,3298100
2022-05-17,15915.929688,16085.849609,15915.929688,16056.089844,16056.089844,2799500
2022-05-18,16174.780273,16316.580078,16172.799805,16296.860352,16296.860352,3405600
2022-05-19,16111.490234,16111.490234,15892.730469,16020.320313,16020.320313,3423100
2022-05-20,16061.919922,16181.660156,16058.200195,16144.849609,16144.849609,2836000
2022-05-23,16193.919922,16249.450195,16125.450195,16156.410156,16156.410156,3295600
2022-05-24,16166.570313,16219.799805,15963.629883,15963.629883,15963.629883,2961400
2022-05-25,15987.740234,16169.179688,15980.900391,16104.030273,16104.030273,3107300
2022-05-26,16128.209961,16179.009766,15949.610352,15968.830078,15968.830078,3062100
2022-05-27,16075.910156,16266.219727,16075.910156,16266.219727,16266.219727,2951400
2022-05-30,16368.929688,16610.619141,16368.929688,16610.619141,16610.619141,3342400
2022-05-31,16561.679688,16807.769531,16493.070313,16807.769531,16807.769531,5523600
2022-06-01,16718.910156,16811.039063,16649.910156,16675.089844,16675.089844,3097600
2022-06-02,16605.460938,16617.259766,16540.550781,16552.570313,16552.570313,2638200
2022-06-06,16570.890625,16654.119141,16509.009766,16605.960938,16605.960938,2873700
2022-06-07,16593.750000,16593.750000,16465.869141,16512.880859,16512.880859,2437900
2022-06-08,16538.669922,16702.990234,16538.669922,16670.509766,16670.509766,2409700
2022-06-09,16643.949219,16643.949219,16557.539063,16621.339844,16621.339844,2366400
2022-06-10,16581.810547,16581.810547,16403.330078,16460.119141,16460.119141,2373300
2022-06-13,16295.070313,16295.070313,16055.889648,16070.980469,16070.980469,3106700
2022-06-14,15975.169922,16067.799805,15869.059570,16047.370117,16047.370117,3086200
2022-06-15,16025.839844,16106.750000,15981.559570,15999.250000,15999.250000,2967000
2022-06-16,16098.290039,16209.250000,15838.290039,15838.610352,15838.610352,3636900
2022-06-17,15794.160156,15794.160156,15573.379883,15641.259766,15641.259766,4373500
2022-06-20,15649.200195,15667.679688,15367.580078,15367.580078,15367.580078,3998700
2022-06-21,15427.330078,15728.639648,15427.330078,15728.639648,15728.639648,3553500
2022-06-22,15687.459961,15687.459961,15346.950195,15347.750000,15347.750000,3950300
2022-06-23,15305.509766,15380.280273,15102.400391,15176.440430,15176.440430,3916600
2022-06-24,15232.339844,15424.370117,15232.339844,15303.320313,15303.320313,3081400
2022-06-27,15409.080078,15656.349609,15409.080078,15548.009766,15548.009766,3120800
2022-06-28,15519.559570,15533.339844,15375.650391,15439.919922,15439.919922,3094700
2022-06-29,15365.540039,15365.540039,15218.070313,15240.129883,15240.129883,3239700
2022-06-30,15146.919922,15147.769531,14825.730469,14825.730469,14825.730469,3673000
2022-07-01,14812.129883,14812.129883,14336.030273,14343.080078,14343.080078,4290300
2022-07-04,14237.830078,14412.469727,14167.099609,14217.059570,14217.059570,3244400
2022-07-05,14345.540039,14488.799805,14100.889648,14349.200195,14349.200195,3468200
2022-07-06,14289.669922,14319.320313,13985.509766,13985.509766,13985.509766,3688700
2022-07-07,14052.179688,14355.150391,13951.809570,14336.269531,14336.269531,3460100
2022-07-08,14462.500000,14552.419922,14373.839844,14464.530273,14464.530273,3508600
2022-07-11,14478.309570,14525.030273,14313.940430,14340.530273,14340.530273,2620100
2022-07-12,14235.629883,14235.629883,13928.660156,13950.620117,13950.620117,3120000
2022-07-13,14194.940430,14403.509766,14194.940430,14324.679688,14324.679688,3342700
2022-07-14,14252.019531,14450.469727,14159.389648,14438.519531,14438.519531,2947600
2022-07-15,14483.959961,14579.730469,14378.330078,14550.620117,14550.620117,3025600
2022-07-18,14589.099609,14719.639648,14589.099609,14719.639648,14719.639648,3117300
2022-07-19,14638.450195,14720.129883,14598.990234,14694.080078,14694.080078,2964100
2022-07-20,14810.400391,14906.950195,14694.200195,14733.219727,14733.219727,3539900
2022-07-21,14744.169922,14937.700195,14716.019531,14937.700195,14937.700195,3418100
2022-07-22,14953.269531,14996.240234,14902.320313,14949.360352,14949.360352,3674900
2022-07-25,14902.250000,14968.230469,14851.370117,14936.330078,14936.330078,2629600
2022-07-26,14912.410156,14912.410156,14750.709961,14806.780273,14806.780273,2617400
2022-07-27,14791.709961,14921.589844,14717.019531,14921.589844,14921.589844,2569700
2022-07-28,14978.950195,15031.990234,14849.940430,14891.900391,14891.900391,2911200
2022-07-29,14950.179688,15035.269531,14929.490234,15000.070313,15000.070313,3117200
2022-08-01,14982.269531,14994.360352,14886.809570,14981.690430,14981.690430,2658300
2022-08-02,14860.940430,14860.940430,14663.459961,14747.230469,14747.230469,3161000
2022-08-03,14757.509766,14777.019531,14673.349609,14777.019531,14777.019531,2649100
2022-08-04,14741.469727,14766.570313,14545.690430,14702.200195,14702.200195,2766400
2022-08-05,14802.339844,15041.410156,14802.339844,15036.040039,15036.040039,2749400
2022-08-08,14972.209961,15034.870117,14908.169922,15020.410156,15020.410156,2558700
2022-08-09,14965.120117,15077.629883,14905.230469,15050.280273,15050.280273,2854300
2022-08-10,14940.759766,14982.330078,14890.549805,14939.019531,14939.019531,2863700
2022-08-11,15087.589844,15204.790039,15087.589844,15197.849609,15197.849609,3417400
2022-08-12,15203.910156,15298.419922,15198.929688,15288.969727,15288.969727,2921300
2022-08-15,15332.919922,15437.230469,15315.120117,15417.349609,15417.349609,3136600
2022-08-16,15435.040039,15451.830078,15392.490234,15420.570313,15420.570313,3045100
2022-08-17,15423.440430,15475.889648,15390.839844,15465.450195,15465.450195,3108600
2022-08-18,15384.730469,15396.759766,15311.219727,15396.759766,15396.759766,2635800
2022-08-19,15394.360352,15458.450195,15346.259766,15408.780273,15408.780273,3252400
2022-08-22,15375.200195,15375.200195,15229.360352,15245.139648,15245.139648,2782000
2022-08-23,15225.169922,15225.169922,15086.429688,15095.889648,15095.889648,2405400
2022-08-24,15112.150391,15183.959961,15053.519531,15069.190430,15069.190430,2665500
2022-08-25,15105.309570,15244.059570,15105.309570,15200.040039,15200.040039,2502900
2022-08-26,15221.500000,15337.250000,15221.500000,15278.440430,15278.440430,3192200
2022-08-29,15197.190430,15197.190430,14843.719727,14926.190430,14926.190430,2973800
2022-08-30,14919.669922,15027.500000,14911.969727,14953.629883,14953.629883,2729600
